"rank","artist","title","releaseYear","listHighestRank","listType","x","y"
"1673","据外媒刚刚消息，白金汉宫宣布，菲利普亲王去世，享年99岁。","姚安娜 为什么大家喜欢姐姐不喜欢我","2021-01-15","1673","top40","1810.72","214.08"
"1674","动漫  ","汪小菲道歉","2021-04-12","1674","top40","1103.11","363.83"
"1675","《晚点 LatePost》独家获悉，1 月 13 日，字节跳动小范围宣布，原锤子科技团队组建的新石实验室，并入 Musical.ly 原创始人阳陆育负责的教育硬件团队。这意味着字节跳动按下了手机业务暂停键，人们可能再也看不到新一代坚果（锤子）手机了。","管泽元","2021-04-13","1675","top40","1765.14","220.7"
"1676","有没有发现你打疫苗的时候都变成了小朋友呢？你打过疫苗了吗？","当你想离职又不好意思说","2021-01-08","1676","top40","1796.78","207.96"
"1677","合成大西瓜突然好火，大家都玩过了吗！！！！！！！！","那英 假唱","2021-04-16","1677","top40","627.97","255.83"
"1678","无描述","那英跳舞 作法现场","2021-01-22","1678","top40","1027.23","221.8"
"1679","成都“数字人民币 红包迎新春”活动将于2021年2月24日正式开启。此次活动向在蓉个人发放总额4000万元的数字人民币消费红包，红包数量约20万个，中签个人可获得178元或238元金额红包。","龚俊 叫我高冷男神","2021-04-06","1679","top40","929.41","172.79"
"1680","“十四五”规划和2035年远景目标纲要草案提出，实施就业优先战略，并明确支持和规范发展新就业形态。未来5年的就业市场会怎样？新职业又会有什么发展？一起来听听全国青联委员、电商主播@薇娅viyaaa 怎么说。","WE iG","2021-01-17","1680","top40","1791.85","328.96"
"1681","沈腾：哟师哥，都这个点儿了还cue自己呢？
杨洋：两位师哥真是起早贪黑刷微博","健康码的温度在哪","2021-01-07","1681","top40","645.27","180.51"
"1682","无描述","合肥紧急启用方舱接种点","2021-05-14","1682","tip","1410.82","286.06"
"1683","27日，中国与塞尔维亚签署驾驶证互认换领协议。根据协议，中国与塞尔维亚双方承认对方核发的有效驾驶证。","天齐锂业","2021-01-17","1683","top40","1041.13","356.06"
"1684","30日，方舱医院考研女孩徐丹通过研究生复试。疫情期间，徐丹在武汉方舱医院说她要考湖南省中医药大学的研究生。刚好该校的博导毛老师就在身边。","魏大勋粉丝信写没什么想说的","2021-01-17","1684","tip","578.03","219.28"
"1685","无描述","台湾地震","2021-01-09","1685","tip","1003.31","201.19"
"1686","带话题#老妈得知我谈姐弟恋#，一起聊聊长辈语出惊人的时刻！发生了哪些有趣的事？","医院院长被举报接受下属排队送礼","2021-05-11","1686","top40","1094.39","263.98"
"1687","日前，经中共中央批准，中央纪委国家监委对中央巡视组原副组长董宏严重违纪违法问题进行了立案审查调查。","16亿口罩流入海洋需至少450年分解","2021-03-28","1687","top40","840.71","173.23"
"1688","无描述","中棉协邀请国外行业协会赴新疆调研","2021-04-01","1688","top40","1375.69","262.59"
"1689","新浪微博认证用户@牧羊人朱可铭 发文称：这几天有太多媒体打电话询问救人情况，因为接的电话太多，手机坏了，今天才修好","石家庄藁城区所有机动车限制上路","2021-01-22","1689","top40","1767.99","186.47"
"1690","社会  ","谢允求周翡嫁一个短命的丈夫","2021-01-12","1690","top40","930.56","312.09"
"1691","无描述","黑龙江新增81例无症状","2021-01-18","1691",,"807.78","216.63"
"1692","21日，中方决定对在涉华问题上严重侵犯中国主权、负主要责任的美方28名人员实施制裁，其中点名蓬佩奥、纳瓦罗、奥布莱恩、史达伟、波廷杰、阿扎、克拉奇、克拉夫特以及博尔顿、班农。被明确列入制裁名单10人都有过哪些恶劣行径？#被制裁美政客反华实录#↓ ​​​​","反穿内衣打疫苗","2021-05-18","1692","top40","1183.08","143.26"
"1693","你的生活是否有因为读书发生改变？有哪个瞬间让你觉得读书真有用？","河南中高风险地区师生暂缓离校返校","2021-01-13","1693","top40","1184.88","243.85"
"1694","《婆婆和妈妈2》杜淳老婆王灿爆料说《情人》是自己给杜淳选的，还用中文把所有的英文备注了！果然王灿才是杜淳的综艺之神！","新冠疫苗接种9个月还有一定水平抗体","2021-03-28","1694",,"1744.33","203.95"
"1695","过了这么多年，没想到还能在节目里看到《欢天喜地七仙女》剧组重聚！感觉大家都没有啥变化，聊起当年拍戏时的趣事，回忆满满！","我国二孩生育率明显提升","2021-05-11","1695","top40","678.7","373.05"
"1696","#白敬亭给张雨绮系鞋带#
快乐大本营 #白敬亭为张雨绮系鞋带# 白白太暖了","杨紫说能扛剧是荣誉也是压力","2021-03-01","1696","top40","814.02","199.94"
"1697","无描述","上海复旦大学附属肿瘤医院1例疑似病例","2021-01-21","1697","top40","1732.06","275.24"
"1698","无描述","冬梦之约","2021-03-05","1698","top40","1829.13","241.09"
"1699","无描述","李兰娟呼吁尽早接种新冠疫苗","2021-04-09","1699","tip","1057.34","277.62"
"1700","18日，金宇彬、申敏儿一同在社交平台晒出出游照，约会互拍很甜蜜。","李易峰说傻子才不拍号手就位","2021-04-09","1700","top40","793.99","281.69"
"1701","朱锁锁谁看了能不心疼呢，谢宏祖妈妈当众给她难堪，还不允许她自己带孩子","13岁猪坚强已不能自主站立","2021-01-10","1701",,"841.88","351.31"
"1702","《青春有你3》 导师Lisa现场跳《情人》，一黑一白两套造型精致又别出心裁，不管是性感火辣还是酷帅飒爽都轻松驾驭！","美国大量老人彻夜排队接种疫苗","2021-01-09","1702","top40","1018.13","322.64"
"1703","吴永恩画“瓦力伊娃”牵手画，画中两人十指紧扣，还有两人约会细节，好甜啊！","华春莹点赞竹内亮导演真实记录中国","2021-01-06","1703","top40","1661.35","238.58"
"1704","近日，合肥公布新一轮楼市新政，其中最受舆论关注的是针对学区房的“限购”政策。新政策规定：在现行义务教育招生入学政策基础上，同一套住房，6年内只享有学区内1个小学学位，3年内只享有学区内一个初中学位。","中美高层战略对话的现场翻译是她","2021-03-20","1704","tip","1616.57","288.88"
"1705","1月16日0—24时，河北省新增72例本土确诊病例。","教育部明确小学阶段作业不出校门","2021-02-04","1705","tip","1150.1","232.27"
"1706","带话题说说看，你在父母面前吃外卖时，你父母一般会说什么...","郑渊洁说容我先接待明星太太们","2021-01-06","1706","top40","1055.62","284.4"
"1707","据预测，今年蝴蝶大爆发时间是5月25日到6月25日，总数量在1.5亿只左右，这将是10年来该区域规模最大的一次蝴蝶爆发生态景观↓↓","韩国出生271天女童遭养父母虐死","2021-01-05","1707","top40","1198.49","333.59"
"1708","杨幂说自己打游戏的时候会喷队友，说队友这个人真的很辣椒！哈哈哈","景甜一字马","2021-04-16","1708","top40","1886.7","268.53"
"1709","全国政协委员、湖北首义律师事务所主任谢文敏接受中国妇女报全媒体记者采访表示：需要多部门合作，加强生育社会支持政策。目前存在家庭生育意愿不高，帮助女性平衡生育与职业发展冲突的支持政策仍不足，需通过进一步加强生育社会支持力度，强化支持家庭发展。","张子枫终止与newbalance合作","2021-03-25","1709","top40","1071.27","299.8"
"1710","4月2日，#台铁列车发生脱轨事故#，已致数十人死亡。救援车辆无法进入隧道，救援人员只能步行走入隧道。一名第8号车厢幸存者说，车厢内的乘客人叠人，很多人看起来已失去意识。这辆脱轨列车上共有494人，目前仍有200人等待救援。","洛天依上春晚了","2021-02-12","1710","top40","1471.32","203.85"
"1711","中国疾控中心副主任冯子健：去年4月后境内发生的疫情，病毒来源都是境外输入，早期在我国传播的病毒已被阻断。","跷二郎腿的后果","2021-02-08","1711","top40","890.38","235.83"
"1712","据香港《南华早报》刚刚消息，美国对此前实施旅行限制的14名中方官员增加施加金融制裁。","女儿们的恋爱","2021-01-20","1712","top40","979.1","282.17"
"1713",,"华晨宇酒吧吸烟","2021-01-09","1713","top40","830.17","227.83"
"1714","据《体坛周报》：据多方证实，前国脚张恩华去世。前一天，为张指导生日…","好朋友失恋找你哭可以糊弄他吗","2021-02-18","1714","top40","1500.71","294.66"
"1715","《三十而已》主演江疏影、童瑶、毛晓彤一同亮相，微博之夜，江疏影还帮毛晓彤提裙摆，超暖心！","石家庄继续居家防疫到1月19日","2021-01-16","1715","top40","800.98","194.93"
"1716","无描述","吴磊 小心隔墙有隼","2021-05-03","1716","top40","1699.87","291.17"
"1717","今晚湖南卫视招商会公布了国民综艺中餐厅的阵容，有姚安娜 和龚俊加盟，越来越期待啦！","特斯拉车内摄像头高清画面","2021-04-06","1717","top40","1567.16","227.43"
"1718","明星-港台  ","美国国会确认拜登胜选","2021-01-07","1718","top40","1842.45","307.14"
"1719","女子与闺蜜相识十年，为在闺蜜5月20日婚礼上呈现出最佳状态，提前一个月去做了减重代谢手术，8天减掉12斤。","周冬雨终止与Burberry合作","2021-03-25","1719","top40","1918.89","235.27"
"1720","《司藤》真的绝了，司藤回顾往事，她和白英都是司藤的分身，当初也是白英杀的司藤。","王鸥为姐姐2预支营业额","2021-01-21","1720","top40","1502.47","302.18"
"1721","明星  ","特朗普政府将撤销英特尔向华为供货许可","2021-01-18","1721","top40","973.95","202.13"
"1722","无描述","江疏影问微博管不管饭","2021-02-28","1722","top40","1795.92","233.72"
"1723","易烊千玺工作室发声明宣布@TFBOYS-易烊千玺 及工作室坚决抵制任何污名化中国的行为，即日起，终止与阿迪达斯品牌的一切合作。 ​​​​","杨幂漫画腰","2021-03-22","1723","tip","1788.65","234.53"
"1724","科普  ","代表建议种牙纳入医保","2021-03-11","1724","top40","824.59","276.37"
"1725","社会  ","张伯礼说明年开春有望摘口罩","2021-03-08","1725",,"755.2","144.98"
"1726","综艺  ","金莎 从上往下拍同款下巴你也有","2021-04-29","1726","top40","1881.65","286.99"
"1727","据法新社22日报道，法国西南部城市波尔多一街区近50人感染了一种“极为罕见”的变异新冠病毒，该变异病毒由英国发现的变异病毒发生新突变而来。","滴滴崩了","2021-02-25","1727","top40","851.08","210.62"
"1728","今天，郑爽发文称自己将要独居，并表示会亲自装修房子。期待啦～","郑合惠子否认拍夏至未至加戏","2021-05-16","1728","top40","1415.66","332.16"
"1729","无描述","印度疫情","2021-04-28","1729","top40","1044.39","202.64"
"1730","新闻播报不NG，关晓彤现场30秒念新闻稿一次过，一口气下来，没有任何结巴和错误，这口条也太顺了，“今日最行”就是彤彤子没错了！","刘雨昕终止与CK合作","2021-03-25","1730","top40","955.78","279.74"
"1731","此前，相恋一年多的李先生和张女士分手，之后李先生要求张女士退还恋爱期间的转账总计4万多元，并将其告上了法庭。","突然觉得读书真有用的瞬间","2021-05-28","1731",,"1844","212.89"
"1732",,"月亮可以弯 百合花也可以开","2021-03-22","1732",,"816.59","267.03"
"1733","财经  ","司藤","2021-03-28","1733","top40","1431.2","333.15"
"1734","无描述","戚薇在电影放映前几分钟被退票","2021-01-15","1734",,"831.24","279.75"
"1735","25日，杨颖工作室发声明宣布终止与阿迪达斯的合作。","你好李焕英延长上映","2021-03-09","1735","top40","1619.43","220.22"
"1736","钟南山呼吁尽快接种新冠疫苗，因为这是非常好的实现群体免疫的方法。","赵露思终止与阿迪达斯合作","2021-03-25","1736",,"1907.18","205.21"
"1737","#创造营#2021学员第一次排名公布！来看看你喜欢的学员排名第几呀？","杭州3月14日可领结婚证","2021-03-03","1737","top40","1188.5","294.32"
"1738","白敬亭工作室发声明宣布白敬亭终止与匡威的合作：“坚决抵制及反对任何污化及造谣中国的言论及行为，国家尊严不容侵犯，坚决维护祖国利益及尊严。” ​","我不是你主人 我是你哥","2021-03-23","1738","top40","1914.66","278.86"
"1739","外交部发言人华春莹表示，欧盟基于谎言和虚假信息，以所谓新疆人权问题的借口，对中方有关实体和个人实施制裁。是欧盟无理挑衅在先，中方正当、正义反应在后。","张钧甯终止与阿迪达斯合作","2021-03-25","1739",,"1654.38","241.34"
"1740","无描述","核酸检测机构不得强制捆绑收费","2021-02-07","1740","top40","1374.55","314.78"
"1741","每周工作4.5天，休2.5天全国推行？人社部答复来了","天天向上","2021-01-24","1741","top40","718.96","205.31"
"1742","无描述","薇娅是不是穿了唐艺昕的毛衣","2021-02-12","1742","top40","820.86","145.73"
"1743","尹正工作室发文回应“拍打路人手机”，称视频实为剧组拍摄间隙该路人突然使用手机近距离拍摄尹正，他下意识挡开且无过激举动。","赵英俊没告诉妈妈自己得病","2021-04-02","1743","tip","1356.61","193.89"
"1744",,"合肥确诊病例吕某行程轨迹公布","2021-05-14","1744","top40","1365.06","160.74"
"1745","《营业吧王牌》直播进行中，张绍刚力夸《山河令》主演龚俊称他是个很努力很有礼貌很低调的人。","东北虎拍碎车窗亲历者发声","2021-04-23","1745","top40","1527.04","286.95"
"1746","近期，我国多地先后出现零星散发本土确诊病例和局部聚集性疫情。了解河北省疫情最新消息！","王嘉尔用六种语言直播","2021-03-28","1746","top40","988.63","203.5"
"1747","无描述","大头娃娃涉事企业主要涉案人员被传唤","2021-01-17","1747",,"1062.44","273.55"
"1748","《刑法修正案（十一）》施行后上海首例以高空抛物罪入刑案件9日宣判。2月，上海一市民被高空抛物砸伤，警方随后抓获抛物男子。法院经审理认为，该男子行为已构成高空抛物罪。近日，#多地多起高空抛物案宣判#，#高空抛物没伤人仍可能获刑#↓↓共同守护头顶上的安全！","发型对颜值的重要性","2021-01-07","1748","top40","727.64","252.99"
"1749","综艺  ","杭州杀妻碎尸案今日开庭","2021-05-14","1749","top40","1384.22","190.08"
"1750","近日，武汉鲁先生爆料称送了7个月快递，却倒欠网点近12万元。他认为，网点给他们的账单中，有许多罚款理由“让人无法接受”。数十位快递员一共倒欠网点100多万。","北京新冠疫苗接种人数已突破100万","2021-01-11","1750","top40","1838.23","217.61"
"1751","海关18日发布称，青岛邮局海关查获38只非法入境活体蚂蚁。其中牛头犬蚁属蚂蚁23只，弓背蚁属蚂蚁15只。这些蚂蚁体型巨大，成年蚂蚁体长25至45毫米。据了解，牛头犬蚁属中部分种蚂蚁，被称为“世界上最危险的蚂蚁”，具有极强的攻击性和毒性。根据海关规定，活体昆虫属禁止邮寄进境物品。","医务人员自创疫苗接种选择题","2021-05-29","1751","top40","618.38","199.18"
"1752","明星  ","追光吧哥哥总决赛","2021-02-27","1752","top40","1042.13","260.33"
"1753","明星  ","谢楠汪聪主持山河令演唱会","2021-04-15","1753","top40","1062.54","151.87"
"1754","无描述","辽宁舰航母编队在台湾周边海域训练","2021-04-05","1754",,"580.87","237.45"
"1755","无描述","茶颜悦色起诉茶颜观色一审判决","2021-04-26","1755","top40","1842.25","235.4"
"1756","无描述","上海凉城路","2021-03-01","1756","top40","1177.4","353.2"
"1757","美国国会近日遭抗议者冲击：美国警察被挤在门和抗议者间痛苦叫喊；有人大喊“彭斯在哪”……","内蒙古反腐第一案","2021-02-27","1757",,"571.21","241.36"
"1758","不久前都市记者收到线索，说有人在网上疯狂叫卖隐私视频，记者经数月调查，打入了偷拍视频黑产链内部，了解到惊人的内幕。在酒店、美容院、试衣间甚至浴室、厕所等地，针孔摄像头偷拍无孔不入，情侣、女性大量私密画面被明码标价叫卖。","张小寒","2021-03-16","1758","top40","1855.16","277.7"
"1759","电视剧《暗恋橘生淮南》1月20日@芒果TV @腾讯视频 心动开播！2021，喜欢变欢喜~","栖霞金矿事故","2021-01-17","1759","top40","1671.18","303.46"
"1760","《你是我的城池营垒》米佧假装生邢克垒的气跑回房间，垒子手足无措地在门外“下跪”道歉，米佧突然打开门扑上去吻他，邢克垒懵到瞪大双眼。","电视剧泄露私人手机号被判赔3.5万","2021-05-28","1760","top40","1296.77","201.72"
"1761","1月20日，北京市统计局和国家统计局北京调查总队联合发布了2020年北京经济主要数据。百姓最关注的“钱袋子”数据出炉。2020年，北京市居民人均可可支配收入69434元，比上年增长2.5%，扣除价格因素，实际增长0.8%。","邓超表情管理","2021-02-27","1761","top40","1209.09","292.09"
"1762","社会  ","向佐郭碧婷女儿正脸照","2021-01-11","1762","top40","1824.13","220.83"
"1763","无描述","GOT7正式解散","2021-01-11","1763","tip","1400.14","307.18"
"1764","无描述","专家研判李某某吕某可能不是零号病人","2021-05-16","1764","top40","1112.31","156.85"
"1765","滑雪竟然划出了社会性死亡现场，带话题发博一起来聊聊吧～","IZONE宣布解散","2021-03-14","1765","top40","1069.89","345.03"
"1766",,"尹正拍打路人手机","2021-03-25","1766","top40","1017.16","314.23"
"1767","“共和国勋章”获得者、中国工程院院士、国家杂交水稻工程技术研究中心主任、湖南省政协原副主席袁隆平，因多器官功能衰竭，于2021年5月22日13时07分在长沙逝世，享年91岁。 网友：是天堂也需要粮食了！","听完日媒记者的提问华春莹笑了","2021-03-24","1767","top40","1144.11","283.38"
"1768","中国视协：依法纳税是宪法规定的每个公民的基本义务和爱国守法的道德义务。对于没有艺德的艺人，社会决不会为其提供发声露脸的机会。","周笔畅 打什么她都会骂你","2021-01-22","1768","top40","606.7","265.5"
"1769","明星  ","IU回归","2021-03-25","1769",,"663.37","221.55"
"1770",,"薇娅乃万VaVa 普通disco","2021-02-04","1770",,"1895.34","304.72"
"1771","“有一分证据说一分话”，在逻辑上形成“闭环”，在事实供应上力求无懈可击，才能最大程度消弭质疑。","染发染出了秃头的效果","2021-05-01","1771","top40","1196.78","323.27"
"1772","蚌埠市王先生通过国务院“互联网+督查”平台反映，五河县育英中学要每个学生花5800元买平板电脑，说布置作业和学习要用。","顾客不戴口罩可拒绝其进入商场超市","2021-01-05","1772","top40","1885.77","254.17"
"1773","你们喜欢喷香水吗？带话题#你会正确地喷香水吗#说说你是怎么喷香水的呀！","彭于晏终止与阿迪达斯合作","2021-03-25","1773","top40","1553.75","294.38"
"1774","无描述","董明珠回应高层变动","2021-02-27","1774","tip","693.22","157.32"
"1775","#沈腾爱德华造型# ​​​​沈腾可太逗啦，期待今晚舞台","沙溢问蔡徐坤站姐想过他的感受没有","2021-03-28","1775","top40","1264.37","198.32"
"1776","86版西游记“红孩儿”的扮演者赵欣培，现在已是中科院博士。","石家庄疫情呈局部高度聚集性","2021-01-12","1776","top40","946.8","318.13"
"1777","在改进个人账户计入办法的同时，会议提出要拓宽个人账户使用范围，允许家庭成员共济，可用于支付在定点医疗机构就医，以及在定点零售药店购买药品、医疗器械和医用耗材发生的由个人负担费用，探索用于家属参加城乡居民基本医保等个人缴费。","肖战原声台词","2021-02-05","1777","tip","1388.23","299.64"
"1778","@微博综艺 推荐：由特仑苏冠名的向往的生活每周五22:00，我们在一起就是向往的生活！","呼和浩特寻找买过阿根廷进口牛排市民","2021-04-11","1778","top40","1062.9","197.99"
"1779","华谊兄弟发布了2020年年报。年报显示，著名导演冯小刚再一次对赌输了……","黄晓明 baby不是小三","2021-01-06","1779","top40","1490.12","176.55"
"1780","12日，外交部发言人赵立坚回应即将举行的中美高层战略对话时表示，这是中美元首出席通话后首次高层接触也是美国新政府执政以来，中美首次面对外面对面会晤。","重庆一15岁女孩校内坠亡","2021-04-24","1780",,"676.34","204.06"
"1781","社会  ","创造营粉丝见面会 难听","2021-04-09","1781","top40","1507.83","297.02"
"1782","据美媒1月27日报道，美国拜登政府已暂停对沙特阿拉伯和阿拉伯联合酋长国的武器销售。","刘雨昕飞机上捡到乘客身份证","2021-03-28","1782","top40","1698.48","242.47"
"1783","华鼎奖发文宣布，撤销郑爽“第19届华鼎奖中国近现代题材电视剧最佳女演员”、“第13届华鼎奖全国观众最喜爱十佳电视明星”“荣誉称号。","清华规定申请硕士学位不必发表论文","2021-03-18","1783","top40","1298.36","219.77"
"1784","社会  ","顺丰临时停牌","2021-02-05","1784","tip","968.59","292.81"
"1785",,"袁媛人设","2021-01-10","1785","top40","1499.97","190.25"
"1786","终于等到创4 韩美娟reaction，哈哈哈哈是喜剧人吧！","第二次搜救仍未找到西藏冒险王","2021-02-07","1786","top40","1189.75","183.7"
"1787","在印度首都新德里，大约每5分钟就有一个人死于新冠肺炎，火葬场成了最忙碌的场所之一。疫情形势严峻让印度的殡葬业几乎面临崩溃，原有的火葬场都在超负荷运转。","吉林102例感染者为同一输入病例传播","2021-01-17","1787","top40","1055.19","334.96"
"1788","《王牌对王牌》第六季快乐回归！王牌登场，笑不可挡！1月29日起，每周五晚20:20，你的快乐就在这里！","阿隼向长歌求婚成功","2021-05-03","1788","top40","974.57","331.7"
"1789","无描述","沈腾直男式示爱","2021-02-14","1789","tip","1584.17","206.4"
"1790","《山河令》制片人马韬曾在活动中谈到选角，表示这两个人必须是未婚没有结婚，最好是没有女朋友。","宝贝计划里的小婴儿长大了","2021-01-06","1790","top40","862.86","253.74"
"1791","薛之谦前女友李雨桐在微博晒出自己宝宝的照片，宣布当妈喜讯。","工信部 拒不接受整治APP坚决下架","2021-03-01","1791",,"1353.54","173.51"
"1792","有网友曝光了华晨宇、张碧晨给孩子上户口的照片。照片中，华晨宇、张碧晨分别举着写有名字和出生年月的板子。","人潮汹涌票房破2亿","2021-02-19","1792","top40","728.18","233.9"
"1793","韩美娟直播邀请利路修连麦被拒绝，利路修说我不直播哈哈","Jennifer和David回忆当年对彼此的crush","2021-05-27","1793","top40","1520.93","175.33"
"1794","中国工程院院士张伯礼：真正到了2月底，特别是到了3月初，我们就可以开始说春暖花开，“疫霾”尽。","英国首相想把新冠病毒归咎于中医","2021-01-13","1794","top40","1862.95","242.02"
"1795","看太多李长歌的男装秀场，今晚女装终终终于安排上了！蓝色面纱下的异域风情，美到让人移不开视线！","赵立坚说请日本官员先喝核废水","2021-04-14","1795","tip","1078.77","232.78"
"1796","无描述","石家庄新增16例本土确诊","2021-01-11","1796","top40","872.55","233.59"
"1797","读书  ","首个遭代孕客户退单女童无法上户","2021-01-12","1797",,"1213.42","233.78"
"1798","杜淳在综艺《婆婆和妈妈2》中向老婆王灿求婚，被神仙爱情甜哭！","浪姐2阵容","2021-01-19","1798",,"1715.25","332.12"
"1799","明星  ","郑爽称张恒出轨","2021-01-19","1799","top40","1236.95","278.14"
"1800","《让生活好看》第四期中，吴宣仪回穿搭被说土：越被说，越故意这样做，直言“我超刚的！”","庄羽催郭敬明公开收益","2021-01-19","1800","tip","722.09","256.89"
"1801","记者27日从中国科学院南京地质古生物研究所获悉，中国、捷克、英国古生物学者近日在1亿年前的缅甸琥珀中发现一种原始的萤火虫祖先：白垩光萤科（Cretophengodidae）昆虫。","全球持茅台股份最多基金减持","2021-01-19","1801","tip","1861.93","265.73"
"1802","动漫-其他  ","上阳赋","2021-01-19","1802","top40","1046.37","230.31"
"1803","据外媒，“石头姐”艾玛·斯通已于3月13日在洛杉矶生下第一个孩子。","容祖儿 我赢了阿sa阿娇","2021-04-17","1803","top40","1192.44","190.55"
"1804","2月21日， 长沙#23岁女生在货拉拉车上跳窗身亡# 一事引发关注。女孩家属称，事发时女孩从“天一美庭”小区搬家。相关人员提供的视频显示，2月6日晚事发前，有一名身穿粉色上衣、浅色牛仔裤的女孩独自搬家，进出约10次。","有酒店浴室挂钩暗藏摄像头","2021-04-30","1804","top40","967.89","248.53"
"1805","艺术  ","雪后张家界","2021-02-27","1805","top40","1900.85","284.6"
"1806","社会  ","华为部分手机取消充电器降价200","2021-04-16","1806","tip","791.06","266.25"
"1807","台湾菠萝开始进入量产季节，原产地台南关庙这两日的菠萝价已下跌到8、9元新台币。有商家表示，再跌下去，农民恐怕就要血本无归了。","粉丝坐在男朋友肩上看蔡徐坤","2021-05-16","1807","top40","905.16","253.19"
"1808","中国疾控中心研究员邵一鸣介绍，对于有临时或紧急任务需要前往疫区、却没有足够时间等待的人群，更适合注射单针腺病毒载体疫苗。","重庆上海广州轨道交通乘车码互通","2021-04-22","1808","tip","1466.06","298.93"
"1809","有皮肤的和艺人同台，没皮肤的在后台送饭，有皮肤的有空遛弯，没皮肤的只能专职送饭。都是牛，区别也太大了！","Jiae出柜","2021-01-09","1809","top40","874.54","321.67"
"1810","社会  ","韩国郑仁养母被判无期徒刑","2021-05-14","1810","top40","1341.66","192.27"
"1811","夏天快来啦，你讨厌夏天吗？讨厌夏天的理由又是什么呢？带话题来聊聊吧","张雪峰离开北京","2021-03-15","1811","top40","1550.78","233.86"
"1812",,"李易峰嘲笑狗仔","2021-01-11","1812","top40","629.02","241.83"
"1813","明星  ","公安部派出工作组赴广西","2021-04-29","1813","tip","1846.39","313.42"
"1814","@微博综艺 推荐：由特仑苏冠名的向往的生活每周五22:00，我们在一起就是向往的生活！","全棉时代的道歉","2021-01-11","1814","tip","1817.69","239.31"
"1815","搞笑  ","王一博演的陈宇","2021-04-28","1815","top40","1878.18","308.81"
"1816","明星  ","央视采访全国唯一高风险地区居民","2021-01-07","1816","top40","1494.98","280.33"
"1817",,"臧鸿飞 为人父母就是卑微","2021-01-21","1817",,"1630.65","216.85"
"1818","综艺  ","Capper道歉","2021-05-09","1818",,"1395.22","301.68"
"1819","电视剧-国产剧  ","郑爽涉嫌偷逃税涉事企业被约谈","2021-04-29","1819","top40","1227.62","168.65"
"1820","国家卫健委网站所发《冬春季农村地区新冠肺炎疫情防控工作方案》提到的居家健康监测, 要求做好体温、症状监测，非必要不外出。如果出现发热、干咳、咽痛、嗅（味）觉减退、腹泻等身体不适症状，及时到医院就诊。居家隔离则要求在社区医务人员指导下，单独居住，不能外出。","石家庄新增27例确诊","2021-01-17","1820","top40","779.9","221.8"
"1821","无描述","沈阳2例确诊与营口确诊轨迹高度重合","2021-05-19","1821","top40","844.65","250.06"
"1822","转发周知！疾控专家提醒，平日在生活工作中要注意以下几点！","黄晓明因减肥身体出问题","2021-04-16","1822","top40","1208.31","257.13"
"1823","合成大西瓜是一款玩法与《2048》类似，两个体型较小的水果相撞即可合成更大的水果，最终达到大西瓜形态的小游戏。最近太火了，大家都玩过了吗？","13年前的地震少年现在都怎么样了","2021-05-11","1823",,"1388.33","327.84"
"1824","张哲瀚工作室回应今天出现的对张哲瀚微博进行自动点赞的情况","浙江黑老大虞关荣4年涉案40亿元","2021-04-01","1824","tip","1528.03","295.11"
"1825","《女儿们的恋爱》大结局，金晨选择和卡斯柏约会，金晨爸爸疑似神情有一些严肃。","魅族18系列取消附送充电器","2021-02-27","1825",,"817.86","255.71"
"1826","无描述","自动挡科目二考试减少为4项","2021-05-10","1826","top40","905.53","245.88"
"1827","无描述","美国疫情","2021-01-19","1827","top40","988.16","286.72"
"1828","无描述","杭州疫情","2021-01-06","1828","tip","797.6","231.54"
"1829","江铠同称与陈翔同剧组六月份拍戏时对方说自己是单身，也对自己表达过喜欢之意、但两人从始至终都是朋友关系。","甘肃救人牧羊大叔发文","2021-05-28","1829","top40","1513.46","280.92"
"1830",,"宋祖儿给杨幂做手机壳","2021-05-08","1830","top40","1068.25","237.05"
"1831","发现程雷想通过水路逃跑后，安静@杨幂 马尚@张彬彬Vin 打头阵发起追击，结果在丹浦港失联，杜猛紧急前往丹浦港支援，在毁坏数据之后，程雷彻底被激怒，趁其不备下狠手杀死了杜猛。#杜猛牺牲#[伤心][伤心][泪][泪] #电视剧暴风眼#","于家翊见不到张豆豆时每天录视频","2021-01-13","1831","tip","1368.48","260.81"
"1832","为进一步严明纪律，长春公主岭对8名党员干部追责问责","币圈崩盘","2021-05-20","1832","top40","1120.87","260.92"
"1833","章子怡发文说汪峰明天就要发新歌了，汪峰回复问明天还有大事发生吗，看来两位也是吃瓜人！","流金岁月","2021-01-12","1833",,"1675.24","191.19"
"1834","近日，广东河源枫树坝水库因水位降低，库底出现疑似古代建筑。画面显示，水面露出多处方形墙体，看起来像古墓或古代民居，此外建筑周边散落不少圆饼状物件。据广东电视台消息，参与考察的专家透露该圆形物件中部刻有文字，初步怀疑是陶饼，系古代随葬用的冥币。","朱芳雨称易建联本赛季有可能复出","2021-02-27","1834","top40","1174.14","311.32"
"1835","黄景瑜卫视春晚献唱《我要找到你》，引发假唱质疑，2月11日，黄景瑜经纪人疑似在朋友圈回应此事。","黄英儿子给Lucky写信","2021-04-03","1835","top40","1352.72","200.35"
"1836","周迅、陈坤在快乐大本营同台，游戏问答默契度让人羡慕！陈坤冻龄更让人感慨！","王牌对王牌","2021-02-12","1836","top40","1434.41","290.38"
